mlb_name,mlb_id
Robert Stephenson,596112
Robert Suarez,663158
Roenis Elias,606273
Ron Marinaccio,676760
Ronald Bolanos,671790
Ronel Blanco,669854
Rony Garcia,665621
Ross Detwiler,446321
Ross Stripling,548389
Rowan Wick,592858
Ryan Borucki,621366
Ryan Brasier,518489
Ryan Burr,621114
Ryan Castellani,624418
Ryan Feltner,663372
Ryan Helsley,664854
Ryan Hendrix,641682
Ryan Pepiot,686752
Ryan Pressly,519151
Ryan Tepera,572193
Ryan Thompson,657044
Ryan Weathers,677960
Ryan Weber,543901
Ryan Yarbrough,642232
Ryne Stanek,592773
Sam Hentges,656529
Sam Howard,607572
Sam Moll,594580
Sam Selman,572125
Sammy Long,669674
Samuel Clay,621348
Sandy Alcantara,645261
Sandy Leon,506702
Scott Barlow,605130
Scott Effross,664123
Sean Doolittle,448281
Sean Hjelle,663546
Sean Manaea,640455
Sean Newcomb,656794
Sean Poppen,664092
Sean Reid-Foley,656887
Seranthony Dominguez,622554
Sergio Romo,489265
Seth Lugo,607625
Seth Martinez,661527
Shane Baz,669358
Shane Bieber,669456
Shane Greene,572888
Shane McClanahan,663556
Shaun Anderson,641312
Shawn Armstrong,542888
Sheldon Neuse,641914
Shohei Ohtani,660271
Silvino Bracho,611093
Sonny Gray,543243
Spencer Howard,675921
Spencer Patton,607359
Spencer Strider,675911
Spenser Watkins,657093
Stephen Nogosek,668665
Stephen Strasburg,544931
Steve Cishek,518553
Steven Brault,643230
Steven Matz,571927
Steven Okert,595345
Steven Wilson,621051
T.J. McFarland,519008
T.J. Zeuch,643615
Taijuan Walker,592836
Tanner Banks,621383
Tanner Houck,656557
Tanner Rainey,663432
Tanner Scott,656945
Tanner Tully,668684
Tarik Skubal,669373
Tayler Saucedo,642048
Tayler Scott,605463
Taylor Clarke,664199
Taylor Hearn,621368
Taylor Rogers,573124
Taylor Widener,642203
Thomas Hatch,641672
Thomas Szapucki,663378
Tim Hill,657612
Tim Mayza,641835
Tommy Henry,674072
Tommy Hunter,488984
Tommy Kahnle,592454
Tommy Milone,543548
Tommy Nance,667297
Tommy Romero,676720
Tony Gonsolin,664062
Tony Santillan,663574
Touki Toussaint,657053
Travis Lakins Sr.,664042
Trent Thornton,663423
Trevor Gott,641627
Trevor Kelley,665001
Trevor May,543507
Trevor Megill,656730
Trevor Richards,670950
Trevor Rogers,669432
Trevor Stephan,663986
Trevor Williams,592866
Triston McKenzie,663474
Tucker Barnhart,571466
Tucker Davidson,656353
Ty Blach,621389
Tyler Alexander,641302
Tyler Anderson,542881
Tyler Beede,595881
Tyler Clippard,461325
Tyler Danish,641501
Tyler Duffey,608648
Tyler Gilbert,656457
Tyler Holton,663947
Tyler Kinley,641755
Tyler Mahle,641816
Tyler Matzek,554431
Tyler Rogers,643511
Tyler Thornburg,592804
Tyler Wells,669330
Tylor Megill,656731
Tyson Miller,668338
Victor Arano,644364
Vince Velasquez,592826
Vladimir Gutierrez,661269
Wade Miley,489119
Walker Buehler,621111
Wandy Peralta,593974
Wil Crowe,640444
Wil Myers,571976
Will Smith,519293
Will Vest,676684
William Woods,682016
Willians Astudillo,553902
Wily Peralta,503449
Wyatt Mills,670090
Xzavion Curry,675540
Yadier Molina,425877
Yency Almonte,622075
Yennier Cano,666974
Yimi Garcia,554340
Yoan Lopez,661255
Yohan Ramirez,670990
Yolmer Sanchez,570560
Yu Chang,644374
Yu Darvish,506433
Yunior Marte,628708
Yusei Kikuchi,579328
Zac Gallen,668678
Zac Lowther,675912
Zach Davies,605200
Zach Eflin,621107
Zach Jackson,667427
Zach Logue,656657
Zach Plesac,668676
Zach Pop,647315
Zach Thompson,605507
Zack Greinke,425844
Zack Littell,641793
Zack Thompson,668868
Zack Wheeler,554430
